3d4c70 35fbef30 44b060
27a4a0 31842f30 30a000
195eb0 3ccd4f30 1d2048
11b100 3aa14f30 1ba010
19af30 3afb9f30 22d000
216dd0 3aa91f30 2ae000
2af5f0 38b77f30 2f0068
47a230 3f4f3f30 4980dc
3d3e80 35fc5f30 3d80e0
3eb7e0 38cfbf30 4100d0
1dd180 397b2f30 27f000
362680 3c405f30 3fe000
1cce00 38528f30 233048
194490 3cb5af30 1a40b0
319500 39890f30 349070
436710 3d516f30 4740c8
198c10 35538f30 1e509c
3e96f0 36dbef30 430090
1fb230 3124af30 26c03c
1d45f0 39175f30 232088
35fc10 3b153f30 3e4010
202280 3be6af30 246060
150e50 3185ef30 1e2010
38af60 3e981f30 3990ec
14a650 32f52f30 1c3000
259c90 39dccf30 28c0b0
3b8230 3b9f1f30 3f50c8
2d6bf0 3feb0f30 330090
30b410 31abcf30 32d0d0
427fa0 3b4c2f30 49f068
43a2e0 3a132f30 46905c
227150 325f6f30 29d000
4598f0 33294f30 4ae090
3cdda0 374e3f30 420080
363420 37b83f30 39108c
25dec0 38ac0f30 27b09c
415f60 3079ff30 453050
180600 3048df30 19d0b0
369d90 350e1f30 3ac0fc
2532e0 3364ef30 2c5030
46a7e0 32484f30 49405c
2ae120 3a526f30 2ff0b0
3471d0 3c40ef30 3b5088
45d250 37da3f30 48b050
34f680 3cbc2f30 3d1000
3b2260 3609ef30 3e40b0
1b2e00 3e210f30 1c5090
212310 34975f30 26f010
2cca50 3b223f30 2f90a4
440bd0 3e2ccf30 48b04c
3dc960 3a197f30 411068
3b3050 321e1f30 3b8100
222780 321ecf30 249090
128e90 37286f30 19f000
2d3010 3362ff30 2fd0e0
304400 3dc4af30 365000
4039b0 3e212f30 479000
3762e0 336fcf30 3e6048
2bdcf0 32f38f30 2f90f0
3edf90 3362bf30 3f20e0
278670 3654af30 2b8060
3ebb50 37a51f30 459030
24fa20 38b03f30 2b30a8
2ba0f0 3cf6df30 305060
1bfd60 3b31ff30 21f03c
2dd010 32953f30 361000
